"KHOA: KHOA HỌC VÀ KỸ THUẬT MÁY TÍNH                                                                                         Ngày 16/10/2023
KẾ HOẠCH GIẢNG DẠY CHƯƠNG TRÌNH CỬ NHÂN KHÓA 2023",,,,,
"Ngành: Khoa học Máy tính - 128.0 Tín chỉ
Major: Computer Science - 128.0 Credits
Chuyên ngành: Khoa học Máy tính - 128.0 Tín chỉ
Speciality: Computer Science - 128.0 Credits",,,,,
"II. Kế hoạch giảng dạy theo học kỳ (Program Plan )
Ghi chú (notes): TQ: Tiên quyết (Prerequisite); SH: Song hành (Co-requisite Courses); KN: Khuyến nghị (Recommended-Courses)
x  - cốt lõi tài năng (Honors)",,,,,
,,,,,
"STT
No.","Mã học phần
(Course ID)","Tên học phần
(Course Title)","Tín chỉ
(Credits)","Học phần tiên quyết/song hành
(Prerequisites)","Ghi chú
(Notes)"
"Học kỳ 1 (Semester 1 )                                                                                                16
Các học phần bắt buộc (Compulsary Courses)",,,,,
1,LA1003,"Anh văn 1
English 1",2,,
2,...,"Giáo dục thể chất
Physical Education",0,,
3,MT1003,"Giải tích 1
Calculus 1",4,,
4,PH1003,"Vật lý 1
General Physics 1",4,,
5,CO1005,"Nhập môn điện toán
Introduction to Computing",3,,
6,CO1023,"Hệ thống số
Digital Systems",3,,
"Học kỳ 2 (Semester 2 )
Các học phần bắt buộc (Compulsary Courses)",,,17,,
1,LA1005,"Anh văn 2
English 2",2,LA1003(TQ),
2,...,"Giáo dục thể chất
Physical Education",0,,
3,MT1005,"Giải tích 2
Calculus 2",4,MT1003(KN),
4,MT1007,"Đại số tuyến tính
Linear Algebra",3,,
5,CO1007,"Cấu trúc rời rạc cho khoa học máy tính
Discrete Structures for Computing",4,,
6,CO1027,"Kỹ thuật lập trình
Programming Fundamentals",3,,
7,PH1007,"Thí nghiệm vật lý
General Physics Labs",1,,
8,MI1003,"Giáo dục quốc phòng
Military Training",0,,
"Học kỳ 3 (Semester 3 )
Các học phần bắt buộc (Compulsary Courses)",,,16,,
1,LA1007,"Anh văn 3
English 3",2,LA1005(TQ),
2,SP1031,"Triết học Mác - Lênin
Marxist - Leninist Philosophy",3,,
3,CO2007,"Kiến trúc máy tính
Computer Architecture",4,CO1005(KN) CO1023(KN),x
4,CO2011,"Mô hình hóa toán học
Mathematical Modeling",3,CO1007(KN),
5,CO2003,"Cấu trúc dữ liệu và giải thuật
Data Structures and Algorithms",4,CO1007(KN) CO1027(KN),x
"Học kỳ 4 (Semester 4 )
Các học phần bắt buộc (Compulsary Courses)",,,17,,
1,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
2,SP1033,"Kinh tế chính trị Mác - Lênin
Marxist - Leninist Political Economy",2,SP1031(KN),
3,CO2017,"Hệ điều hành
Operating Systems",3,,x
