STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
1.9,PE1051,Quần vợt (Học phần 2),0,,
,,Tennis,,,,
1.10,PE1055,Cờ vua (học phần 2),0,,
,,Chess,,,,
1.11,PE1059,Bowling (học phần 2),0,,
,,Bowling,,,,
1.12,PE1063,Pickleball (học phần 2),0,,
,,Pickleball,,,,
,,HK3 - 16 tín chỉ,,,,
,,Semester 3- 16 Credits,,,,
,,Các học phần bắt buộc,,,,
,,Compulsory Courses,,,,
1,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,,
2,MT1009,Phương pháp tính,3,MT1003(KN),
,,Numerical MeThods,,,,
3,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,,
4,ME2103,Khoa học Vật liệu dệt,3,,
,,Science of Textile Materials,,,,
5,ME2107,Thí nghiệm Kiểm tra phân tích Vật liệu dệt,2,,
,,Testing and Experiments of Textile Materials,,,,
6,ME2059,Polymer dệt,3,,
,,Polymers in Textile,,,,
,,HK4 - 16 tín chỉ,,,,
,,Semester 4- 16 Credits,,,,
,,Các học phần bắt buộc,,,,
,,Compulsory Courses,,,,
1,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,,
2,MT2013,Xác suất và Thống kê,4,MT1007(KN),
,,Probability and Statistics,,,,
3,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,,
4,ME2101,Cơ học máy,3,,
,,Mechanics of Machines,,,,
5,ME2173,Các công nghệ 4.0 trong quản lý năng suất và chất lượng,3,,
,,Industry 4.0 technologies in quality and productivity Management,,,,
6,ME3169,Thực tập Kỹ thuật Dệt,2,,
,,Textile practices,,,,
,,HK5 - 17 tín chỉ,,,,
,,Semester 5- 17 Credits,,,,
,,Các học phần bắt buộc,,,,
,,Compulsory Courses,,,,
1,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
,,Scientific Socialism,,,,
2,ME3051,Công nghệ Dệt thoi,3,,
,,Weaving Technology,,,,
3,ME3061,Hóa học Thuốc nhuộm,3,,
,,Dyestuff,,,,
4,ME3283,Công nghệ sợi 1,3,,
,,Spinning Technology 1,,,,
5,ME2171,Công nghệ may mặc,3,,
,,Garment and Clothoing Technology,,,,
6,ME2169,Kiểm định và đánh giá chất lượng hàng dệt may,3,,
,,Audit and Assessment of textiles products,,,,
,,HK6 - 17 tín chỉ,,,,
,,Semester 6- 17 Credits,,,,
,,Các học phần bắt buộc,,,,
,,Compulsory Courses,,,,
1,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of VieTNamese Communist Party,,,,
2,ME3055,Công nghệ sợi 2,4,,
,,Spinning Technology 2,,,,
3,ME3063,Công nghệ Dệt kim,3,,
,,Knitting Technology,,,,
4,ME3081,Thiết bị Sợi dệt,3,,
,,Textile Machinery,,,,
5,ME3131,Thực tập Ngoài trường,2,ME3169(HT),
,,Internship,,,,
,,Các học phân tự chọn,,,,
,,Elective Courses,,,,
,,Tự chọn Quản lý (tối thiểu 3 tín chỉ),,,,
,,Management for Engineers,,,,
1.1,IM1013,Kinh tê học Đại cương,3,,
,,Economics,,,,
1.2,IM1023,Quản lý Sản xuất cho Kỹ sư,3,,
,,Production and Operations Management for Engineers,,,,
1.3,IM1025,Quản lý Dự án cho Kỹ sư,3,,
,,Project Management for Engineers,,,,
1.4,IM1027,Kinh tế Kỹ thuật,3,,
,,Engineering Economics,,,,
1.5,IM3001,Quản trị Kinh doanh cho Kỹ sư,3,,
,,Business Administration for Engineers,,,,
,,HK7 - 17 tín chỉ,,,,
,,Semester 7-17 Credits,,,,
,,Các học phần bắt buộc,,,,
,,Compulsory Courses,,,,
1,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,,
2,ME3171,Cấu trúc vải,4,,
,,Fabric Construction,,,,
3,ME3047,Công nghệ không dệt,3,,
,,Nonwoven Technology,,,,
4,ME4113,Đồ án 1,2,ME3131(SHT),
,,Project 1,,,,
5,ME3067,Công nghệ nhuộm Hoàn tất vải,3,,
,,Technology in Dyeing and Finishing Fabric,,,,
,,Các học phần tự chọn,,,,
,,Elective Courses,,,,
,,Tự chọn tự do (3 tín chỉ),,,,
,,Free Electives (3 credits),,,,
,,HK8 - 15 tín chỉ,,,,
,,Semester 1-15 Credits,,,,
,,Các học phần bắt buộc,,,,
,,Compulsory Courses,,,,
1,SP1007,Pháp luật Việt Nam Đại cương,2,,
,,Introduction to VietNamese Law,,,,
2,ME1017,Môi trường và phát triển bền vững trong dệt may,3,,
,,Environment and Sustainability Development in Textile and Clothing Ind,,,,
3,ME4347,Đồ án Tốt nghiệp (Kỹ thuật Dệt),4,ME4113(TQ) ME3131(TQ),
,,Capstone Project,,,,
,,Các học phần tự chọn,,,,
,,Elective Courses,,,,
,,Tự chọn tự do (6 tín chỉ),,,,
,,Free Electives (6 credits),,,,
